Issue Number,Alarm Severity,Status,Event Title,Airtel Site ID,ISM,ATC ID,Cluster,Regional Manager,Alarm Start Time,Alarm Cleared Time,DURATION,MTTR,MTTR RANGE,Root Cause,Specific Cause,Underlying Cause,Closing Details,Site Issue Type,ATC CLASS,AIRTEL CLASS,AIRTEL REGION,key
28355929,Closed,Major,SITE DOWN AT NI0680,NI0680,I-ENG,407262,Suleja,Yusuf Abdullahi,02/07/2024 05:13,02/07/2024 05:51,37.99999999813736,0.6333333333022892,<2hrs,Power,DG Fault,DG Coolant low,"DG HIGH TEMPERATURE DUE TO LOW COOLANT LEVEL. COOLANT LEVEL WAS TOPPED, DG POWERED. DL=268 DGRH=5614",Incident,Platinum COLO,Silver,NORTH WEST,28355929_2024-07-02 05:13:00
28355739,Closed,Major,SITE DOWN@ZM0011,ZM0011,I-ENG,404770,Gusau,Ibrahim Lawan,02/07/2024 05:07,02/07/2024 05:32,25.00000000814908,0.4166666668024845,<2hrs,Power,DG Fault,Faulty Priming Pump,FAULTY HAND PRIMER WAS REPLACED AND DG POWERED // DIESEL LEVEL 547L/ RH 16772,Incident,Platinum COLO,Silver,NORTH WEST,28355739_2024-07-02 05:07:00
28355430,Closed,Major,SITE DOWN@SK0200+3SUBS,SK0200,I-ENG,404587,Sokoto Ilela,John  Adejo,02/07/2024 04:51,02/07/2024 06:49,118.00000000745058,1.966666666790843,<2hrs,Power,DG Fault,Faulty Priming Pump,FAULTY INJECTOR  NOZZLE WAS WORKED ON/ DIESEL LEVEL 503L RH 7599,Incident,Platinum COLO,Silver,NORTH WEST,28355430_2024-07-02 04:51:00
28355489,Closed,Major,SITE DOWN@KN0563,KN0563,I-ENG,626697,Kano 2,Usman Shaibu,02/07/2024 04:50,02/07/2024 07:20,149.99999999650754,2.4999999999417923,2hrs - 4hrs,Power,DG Fault,Faulty Priming Pump,"FAULTY INJECTOR  PUMP WAS SERVICED /DL 375L, RH 6243",Incident,Silver,Silver,NORTH EAST,28355489_2024-07-02 04:50:00
28354614,Closed,Major,SITE DOWN AT NI0300,NI0300,I-ENG,403502,Suleja,Yusuf Abdullahi,02/07/2024 03:42,02/07/2024 04:13,30.99999999627471,0.5166666666045785,<2hrs,Power,DG Fault,Fuel System Fault,"DG BLOCKED FUEL LINE WAS WORKED ON AND FREED, DG POWERED. DL=306 DGRH=7359",Incident,Platinum COLO,Silver,NORTH WEST,28354614_2024-07-02 03:42:00
28353359,Closed,Major,SITE DOWN@KG0054,KG0054,I-ENG,402354,Ayangba,Uche Obasi,02/07/2024 01:47,02/07/2024 03:33,105.99999999976716,1.7666666666627862,<2hrs,Power,DG Fault,Malfunctioning Battery,"FLAT DG BATTERY , EXTERNAL BATTERY WAS USED TO POWER DG DL: 676L  RH: 9832",Incident,Gold,Gold,NORTH WEST,28353359_2024-07-02 01:47:00
28353155,Closed,Major,SITE DOWN@T5090/KN0072,KN0072,I-ENG,402414,Rano,Usman Shaibu,02/07/2024 00:44,02/07/2024 00:54,10.000000001164151,0.1666666666860692,<2hrs,Power,DG Fault,Generator Power Alarm,"DG OVERLOAD DUE TO DG UNDER FREQUENCY ALARM. UNDER FREQUENCY ALARM WAS CLEARED, DG POWERED",Incident,Platinum COLO,Silver,NORTH EAST,28353155_2024-07-02 00:44:00
28352382,Closed,Major,SITE DOWN@ZM0218,ZM0218,I-ENG,404799,Gusau,Ibrahim Lawan,02/07/2024 00:22,02/07/2024 10:59,637.0000000018626,10.61666666669771,>4hrs,Power,Theft,AC/DC Cable Theft,VANDALIZED DC CABLES FROM RECTIFIER TO DC CABINET WAS REPLACED,Security,Platinum,Platinum,NORTH WEST,28352382_2024-07-02 00:22:00
28352812,Closed,Major,SITE DOWN AT KB4071,KB4071,I-ENG,405298,Kebbi Metro,John  Adejo,02/07/2024 00:10,02/07/2024 00:59,49.00000000256114,0.8166666667093523,<2hrs,Power,DG Fault,DG Starter Battery Fault,"WEAK DG BATTERY, EXTERNAL BATTERY WAS USED, DG POWERED. DL=1783 DGRH= 12848",Incident,Silver,Silver,NORTH WEST,28352812_2024-07-02 00:10:00
28351384,Closed,Major,SITE DOWN AT KB0416,KB0416,I-ENG,626201,Kebbi Metro,John  Adejo,02/07/2024 00:00,02/07/2024 00:07,7.000000001862645,0.1166666666977107,<2hrs,Power,DG Fault,DG Starter Battery Fault,"WEAK DG BATTERY, EXTERNAL BATTERY WAS USED, DG POWERED",Incident,Silver,Silver,NORTH WEST,28351384_2024-07-02 00:00:00
28403870,Closed,Major,SITE DOWN@AB0700,AB0700,I-ENG,628467,Apo,Uche Obasi,03/07/2024 23:29,03/07/2024 23:59,30.98333332571201,0.5163888887618668,<2hrs,Power,Fuel Outage,Low Fuel,"LOW DIESEL AT SITE, DIESEL WAS TOPPED AND DG POWERED",Incident,Silver,Silver,NORTH WEST,28403870_2024-07-03 23:29:00
28403684,Closed,Major,SITE DOWN KD0844,KD0844,I-ENG,408158,Pambegwa,Emmanuel Okolo,03/07/2024 22:37,03/07/2024 23:06,29.00000000023283,0.4833333333372138,<2hrs,Power,DG Fault,DG Overheating,"LOW  WATER LEVEL, WATER WAS TOPPED AND DG POWERED",Incident,Platinum COLO,Silver,NORTH WEST,28403684_2024-07-03 22:37:00
28403116,Closed,Major,SITE DOWN AT AB0015,AB0015,I-ENG,400013,Lugbe,Uche Obasi,03/07/2024 22:26,03/07/2024 23:01,34.99999999883585,0.5833333333139308,<2hrs,Power,DG Fault,Hybrid Fault,SYNCHRONIZATION FAILURE FROM PHCN TO DG DUE TO LOW VOLTAGE FROM PHCN,Incident,Silver,Silver,NORTH WEST,28403116_2024-07-03 22:26:00
28403546,Closed,Major,SITE DOWN@KN0563,KN0563,I-ENG,626697,Kano 2,Usman Shaibu,03/07/2024 22:21,03/07/2024 23:30,68.99999999441206,1.1499999999068675,<2hrs,Power,DG Fault,Faulty Priming Pump,"FAULTY INJECTOR PUMP WAS WORKED ON_x000D_
DL  375  RH 6253",Incident,Silver,Silver,NORTH EAST,28403546_2024-07-03 22:21:00
28403514,Closed,Major,SITE DOWN@KN0244,KN0244,I-ENG,402526,Kano 6,Usman Shaibu,03/07/2024 21:53,03/07/2024 22:50,56.99999999720603,0.95,<2hrs,Power,DC Power,LIB Fault|Malfunctioning LIBs,FAULTY LIB ALARM WAS CLEARED AND DG POWERED,Incident,Silver,Silver,NORTH EAST,28403514_2024-07-03 21:53:00
28402032,Closed,Major,SITE DOWN AT SK0414,SK0414,I-ENG,409312,Jega,John  Adejo,03/07/2024 21:01,03/07/2024 21:28,26.999999993713573,0.4499999998952262,<2hrs,Power,DG Fault,Generator Fault,WEAK DG / DG WAS PRIMED TO START,Incident,Platinum COLO,Silver,NORTH WEST,28402032_2024-07-03 21:01:00
28401235,Closed,Major,SITE DOWN AT NI0512,NI0512,I-ENG,408301,Minna 2,Yusuf Abdullahi,03/07/2024 20:02,03/07/2024 20:28,26.000000000931323,0.4333333333488554,<2hrs,Power,DG Fault,Fuel System Fault,"FUEL LINE  BLOCKAGE WAS CLEARED_x000D_
DL  516   RH  21023",Incident,Platinum COLO,Silver,NORTH WEST,28401235_2024-07-03 20:02:00
28401607,Closed,Major,SITE DOWN AT NI0342,NI0342,I-ENG,403527,Tegina,Yusuf Abdullahi,03/07/2024 19:57,03/07/2024 21:35,97.99999999,1.6333333332440816,<2hrs,Power,DG Fault,Water Pump Fault,FAULTY LIFT PUMP WAS WORKED ON,Incident,Silver,Silver,NORTH WEST,28401607_2024-07-03 19:57:00
28401269,Closed,Major,SITE DOWN AT KD2268,KD2268,I-ENG,405256,Kachia Road,Emmanuel Okolo,03/07/2024 19:55,03/07/2024 22:19,143.99999999790452,2.3999999999650754,2hrs - 4hrs,Power,DC Power,Malfunctioning,FAULTY RECTIFIER CSU WAS RESET,Incident,Silver,Silver,NORTH WEST,28401269_2024-07-03 19:55:00
28400507,Closed,Major,SITE DOWN AT NI0661,NI0661,I-ENG,627591,Minna 2,Yusuf Abdullahi,03/07/2024 19:03,03/07/2024 19:55,52.000000001862645,0.8666666666977108,<2hrs,Power,DG Fault,Hybrid Fault,"HYBRID SYNC FAILURE DUE TO DG FAILED TO START ALARM, ALARM WAS CLEARED AND DG POWERED DL 565 RH 3500",Incident,Silver,Silver,NORTH WEST,28400507_2024-07-03 19:03:00
28399854,Closed,Major,SITE DOWN AT KT0584,KT0584,I-ENG,627553,Katsina Metro,Ibrahim Lawan,03/07/2024 18:58,03/07/2024 19:03,4.999999995343387,0.083333333,<2hrs,Power,DG Fault,Generator Fault,"BURNT DG, SITE POWERED WITH MDG DL 335 RH 5487",Incident,Platinum COLO,Silver,NORTH WEST,28399854_2024-07-03 18:58:00
28400266,Closed,Major,SITE DOWN AT KD0076,KD0076,I-ENG,402194,Kafanchan 1,Emmanuel Okolo,03/07/2024 18:54,03/07/2024 19:49,55.00000000116415,0.9166666666860692,<2hrs,Power,DG Fault,Faulty Charging Alternator,FAULTY CHARGING ATERNATOR WAS EXCITED,Incident,Silver,Silver,NORTH WEST,28400266_2024-07-03 18:54:00
28399991,Closed,Major,SITE DOWN AT JG0017 + 1,JG0017,I-ENG,401996,Kazaure,Usman Shaibu,03/07/2024 18:52,03/07/2024 20:04,71.99999999371357,1.1999999998952262,<2hrs,Power,DC Power,DC Cable Fault|Burnt DC Cable,BURNT BTS CABLE WAS WORKED ON,Incident,Platinum COLO,Gold,NORTH EAST,28399991_2024-07-03 18:52:00
28398810,Closed,Major,SITE DOWN AT NI0512,NI0512,I-ENG,408301,Minna 2,Yusuf Abdullahi,03/07/2024 18:00,03/07/2024 19:28,88.00000000395812,1.4666666667326351,<2hrs,Power,DG Fault,DG Oil Filter,BLOCKED FUEL LINE WAS FLUSHED DL 531 RH 21021,Incident,Platinum COLO,Silver,NORTH WEST,28398810_2024-07-03 18:00:00
28398892,Closed,Major,SITE DOWN AT KN0022,KN0022,I-ENG,402421,Sabon Gari,Usman Shaibu,03/07/2024 17:47,03/07/2024 18:08,21.00000000558793,0.3500000000931322,<2hrs,Power,DG Fault,DG Coolant low,"DG HIGH TEMP. DUE TO LOW WATER LEVEL, WATER WAS TOPPED DG 217 RH 4101",Incident,Platinum COLO,Gold,NORTH EAST,28398892_2024-07-03 17:47:00
28397615,Closed,Major,SITE DOWN AT KG0015,KG0015,I-ENG,402319,Ayangba,Uche Obasi,03/07/2024 16:20,03/07/2024 17:32,72.00000000419095,1.2000000000698492,<2hrs,Power,DC Power,Rectifier Fault|Controller Fault,TRIPPED RECTIFIER BREAKER WAS ENABLED,Incident,Platinum COLO,Silver,NORTH WEST,28397615_2024-07-03 16:20:00
28397463,Closed,Major,SITE DOWN AT AB1576,AB1576,I-ENG,628514,Apo,Uche Obasi,03/07/2024 16:18,03/07/2024 17:01,42.99999999348074,0.7166666665580124,<2hrs,Power,Theft,Battery Theft,"VANDALIZED LIB BATEERIES AT SITE, DG POWERED ON MANUAL",Security,Silver,Silver,NORTH WEST,28397463_2024-07-03 16:18:00
28395719,Closed,Major,SITE DOWN AT NI0065,NI0065,I-ENG,403451,Kontogora1,Yusuf Abdullahi,03/07/2024 15:29,03/07/2024 17:03,94.00000000256114,1.5666666667093525,<2hrs,Power,Fuel Outage,Low Fuel,"LOW DIESEL, DIESEL WAS TOPPED DL 552 RH 10883",Incident,Gold,Gold,NORTH WEST,28395719_2024-07-03 15:29:00
28396175,Closed,Major,SITE DOWN AT SK0414,SK0414,I-ENG,409312,Jega,John  Adejo,03/07/2024 15:21,03/07/2024 15:44,23.00000000162981,0.3833333333604969,<2hrs,Power,DG Fault,Fuel System Fault,"BLOCKED FUEL LINE WAS CLEARED AND DG POWERED, DL : 312 ; RH 12168",Incident,Platinum COLO,Silver,NORTH WEST,28396175_2024-07-03 15:21:00
